2022,6.9693
2021,5.7491
2020,3.6393
2019,3.8544
2018,3.7043
2017,3.6162
2016,3.5964
2015,3.7829
2014,4.1626
2013,5.6872
2012,6.9160
2011,6.7973
2010,4.3064
2009,3.7513
2008,5.3014
2007,3.7620
2006,2.6298
2005,2.1122
2004,2.5352
2003,2.3349
2002,2.2894
2001,2.1067
2000,2.1151
